codigo,localidad,score_fuego_estructural,score_agua,score_remocion,score_operativo,indice_bogota_base,indice_bogota_dinamico,indice_presion_ecoterritorial_bogota,nivel,driver_principal,corredor_estrategico,incidentes_7d,lluvia_72h_mm,resumen,water_area,water_feature_count,water_rio_bogota,humedal_area_proxy,humedal_feature_count,score_agua_real,score_agua_demo,fuente_agua_real
07,Bosa,0.21,0.611,0.18,0.59,0.32,0.59,0.414,Bajo,Río Bogotá y anegamiento,Corredor Río Bogotá,3,64,"Predomina el componente hídrico por planicie aluvial, encharcamiento y afectación asociada a lluvias fuertes.",505403.36984423,8.0,8.0,0.00028804632727432664,505.0,0.611,0.86,Datos Abiertos Bogota: cuerpo de agua + humedales
08,Kennedy,0.19,0.685,0.16,0.55,0.328,0.55,0.406,Bajo,Corredor hídrico y drenaje urbano,Corredor Fucha-Tintal,2,61,Alta exposición operativa por drenaje urbano e infraestructura crítica sobre sectores de anegamiento.,789962.82731108,19.0,19.0,0.00041872387824632963,825.0,0.685,0.79,Datos Abiertos Bogota: cuerpo de agua + humedales
10,Engativá,0.17,0.769,0.14,0.44,0.339,0.44,0.374,Bajo,Presión hídrica localizada,Corredor Salitre-Jaboque,1,42,Zona predominantemente urbana donde resaltan humedales remanentes y episodios locales de anegamiento.,1605609.33774033,12.0,12.0,0.0012315641959513505,1542.0,0.769,0.74,Datos Abiertos Bogota: cuerpo de agua + humedales
09,Fontibón,0.17,0.685,0.12,0.49,0.307,0.49,0.371,Bajo,Anegamiento y borde aeroportuario,Corredor Río Bogotá,1,51,Señal dominada por agua superficial y corredores de drenaje con poca presión de ladera o fuego.,913995.717939804,16.0,16.0,0.00050886072979526,595.0,0.685,0.73,Datos Abiertos Bogota: cuerpo de agua + humedales
17,La Candelaria,0.26,0.0,0.42,0.28,0.238,0.28,0.253,Bajo,Ladera patrimonial,Corredor Centro Histórico,0,27,"Pequeña pero sensible por pie de monte, escorrentía y condicionantes geomorfológicos del centro histórico.",0.0,0.0,0.0,0.0,0.0,0.0,0.24,Datos Abiertos Bogota: cuerpo de agua + humedales
12,Barrios Unidos,0.12,0.533,0.1,0.27,0.237,0.27,0.249,Bajo,Drenaje urbano puntual,Corredor Centro Occidente,0,26,Localidad densa con señal estructural baja y afectación más asociada a drenaje urbano puntual.,113434.978379959,6.0,6.0,0.00016436695044263832,245.0,0.533,0.28,Datos Abiertos Bogota: cuerpo de agua + humedales
16,Puente Aranda,0.07,0.479,0.06,0.31,0.189,0.31,0.231,Bajo,Canales y drenaje industrial,Corredor Fucha Industrial,1,34,La señal principal proviene de canales y superficie impermeable sobre un entorno altamente transformado.,474675.1434083,3.0,3.0,0.0,0.0,0.479,0.37,Datos Abiertos Bogota: cuerpo de agua + humedales
13,Teusaquillo,0.11,0.44,0.08,0.24,0.198,0.24,0.213,Bajo,Drenaje urbano y arbolado,Corredor Centro Occidente,0,24,Exposición baja con sensibilidad dispersa en espacio público verde y drenajes secundarios.,139651.06445366,2.0,2.0,1.7605459434411953e-06,8.0,0.44,0.33,Datos Abiertos Bogota: cuerpo de agua + humedales
15,Antonio Nariño,0.09,0.356,0.09,0.25,0.17,0.25,0.198,Bajo,Drenaje y densidad urbana,Corredor Centro Sur,0,25,Predomina un perfil urbano compacto con exposición localizada en lluvias intensas y drenaje.,34869.9117345,1.0,1.0,0.0,0.0,0.356,0.26,Datos Abiertos Bogota: cuerpo de agua + humedales
14,Los Mártires,0.08,0.0,0.07,0.23,0.052,0.23,0.114,Bajo,Entorno urbano consolidado,Corredor Centro Histórico,0,22,Núcleo urbano consolidado con baja señal eco-territorial estructural en comparación con bordes y laderas.,0.0,0.0,0.0,0.0,0.0,0.0,0.21,Datos Abiertos Bogota: cuerpo de agua + humedales
